"Аватар 2: Путь воды, 2022","приключения, боевик, фантастика","
Сюжет нового фильма американского режиссера Джеймса Кэмерона продолжает историю инопланетного народа на’ви, который снова вынужден вступить в противостояние с корыстными человеческими корпорациями. Центральной фигурой картины и на этот раз станет Джейк Салли. «Аватар 2» — идеальный вариант для тех, кто мечтает вновь окунуться в фантастическую вселенную, придуманную Кэмероном и его командой в далеком 2010 году.
Главную женскую роль в фильме исполнит оскароносная актриса Кейт Уинслет, для которой «Аватар» станет вторым совместным проектом с Джеймсом Кэмероном. В свое время именно этот кинематографист открыл талант Уинслет всему миру, сняв ее в фильме-катастрофе «Титаник».
Съемки сиквела «Аватара» продолжались на протяжении многих лет. После длительного производственного ада проект все-таки получил дату премьеры, которая, как ожидается, должна состояться в 2022 году. В свое время оригинальный фильм стал одним из самых кассовых проектов в истории современного кинематографа.
К своим ролям в картине вернутся Зои Салдана, Сигурни Уивер и Сэм Уортингтон. В свое время каждый из этих актеров сыграл значимую роль в создании самого первого «Аватара». Удивительно, что спустя столько лет знаменитости все-таки нашли время и возможность вернуться к работе с Джеймсом Кэмероном.
В 2012 году режиссеру Джеймсу Кэмерону пришлось погрузиться на дно Марианской впадины, чтобы снять виды для океанского дна вымышленной планеты Пандора, которая является основной локацией «Аватара». По всей видимости, теперь каждый из зрителей сможет увидеть элементы Марианской впадины собственными глазами.
",https://www.kinoafisha.info/movies/8103877/
"Зеленая миля, 1999",драма,"
В Луизиане в 1935 году заключенные исправительного учреждения Холодная гора называют камеру смертников «Зеленой милей» из-за зеленого линолеума, выложенного на полу. Пол Эджкомб, главный охранник, встречает нового заключенного, Джона Коффи, которого должны казнить за убийство двух молодых девушек. Несмотря на свой размер и ужасные преступления, за которые он отбывает срок, Коффи кажется добрым и воспитанным человеком, который ведет себя скорее как невинный ребенок, чем закоренелый преступник. Вскоре Эджкомб замечает в Джоне сверхъестественные способности и начинает сомневаться, что он действительно виновен…
",https://www.kinoafisha.info/movies/4982409/
"Человек-паук: Нет пути домой, 2021","фантастика, боевик, приключения","
Супергерой Человек-паук, основанный на персонаже комиксов, возвращается в продолжении кинокартин «Человек-паук: Возвращение домой» (2017) и «Человек-паук: Вдали от дома» (2019). Работа Джона Уоттса станет 27-м фильмом в вымышленной вселенной Marvel.
В 2015 году вселенная Marvel навсегда изменилась. После долгих переговоров между Walt Disney Studios и Sony Pictures было подписано знаменательное соглашение, которое позволило Человеку-пауку появляться в фильмах, выпущенных Marvel Studios. С тех пор поклонники со всего мира стали свидетелями невероятных приключений героя, которого сыграл Том Холланд. Актер дебютировал в роли Питера Паркера в картине «Первый мститель: Противостояние» в 2016 году и с тех пор стал настоящим фаворитом фанатов комиксов. Зрителям понравились не только одиночные приключения героя, но и его роль в франшизе «Мстители».
Питер Паркер – ученик старших классов, чья жизнь балансирует между обязанностями супергероя и учёбой в школе. В конце предыдущей части парень спускает на землю свою возлюбленную после полета над Нью-Йорком и замечает, что на гигантских экранах появляется сводка последних новостей. СМИ опубликовали кадры, из которых можно предположить, что Человек-паук, а не Мистерио, был ответственен за атаку в Лондоне. Казалось, куда еще хуже, однако вскоре появляется информация, раскрывающая тайну личности супергероя.  
В третьей части Питер Паркер больше не сможет прятаться от окружающего мира, притворяясь робким учеником школы. Картина также будет сосредоточена вокруг монстра-захватчика, который был показан в середине титров фильма.
",https://www.kinoafisha.info/movies/8356586/
"Король Лев, 1994","мюзикл, приключения, драма, семейный, комедия, анимация","
В центре сюжета – львенок по имени Симба, сын повелителя африканской саванны Муфасы. Герою предначертано стать королем, когда правление его отца подойдет к закату. Однако в планы судьбы вмешивается дядя наследника Шрам: его коварство и подлость приводят к смерти Муфасы и добровольному изгнанию Симбы.
Проходят годы, и повзрослевший Симба случайно сталкивается с подругой детства Налой. Юному льву предстоит решить – продолжить ли беззаботную жизнь вместе сурикатом Тимоном и бородавочником Пумбой или наконец-то сразиться с деспотичным Шрамом за принадлежащий ему по праву королевский трон.
Эпичное анимационное полотно о наследнике саванны вышло на широкий экран в 1994 году. Несмотря на то, что проект “Король Лев” долгое время считался второстепенным, мультфильм стал одним из главных триумфов студии, обогнав свою соперницу “Покахонтас”, на которую в то время “Дисней” делал ставку.
Своим успехом “Король Лев” обязан многим факторам, в том числе звездному кастингу и саундтреку. Главных героев в картине озвучили Мэттью Бродерик (взрослый Симба), Джеймс Эрл Джонс (Муфаса), Джереми Айронс (Шрам), Роуэн Аткинсон (Зазу) и другие популярные артисты. Ханс Циммер получил премию “Оскар” за “Лучший оригинальный саундтрек”, а поэт Тим Райс и музыкант Элтон Джон – за композицию Can You Feel the Love Tonight, которая вместе с двумя другими хитами из мультика появилась в номинации “Лучшая песня”.
",https://www.kinoafisha.info/movies/4620118/
"1+1, 2011","комедия, драма, биография","
Дрисс и Филипп — очень разные. Дрисс — черный выходец из Сенегала, Филипп — чистокровный француз. Дрисс прозябает в парижском гетто, зарабатывая где придется, а Филипп — богатый аристократ, живущий в собственном особняке. Но их главное различие в том, что Дрисс — это крепкий, рослый парень, который за словом в карман не полезет, а Филипп — инвалид-колясочник, полностью парализованный ниже шеи, и ему каждую секунду нужна помощь другого человека.
Именно потребность в сиделке и сводит Филиппа с Дриссом, который в очередной раз остался без работы и пришел к миллионеру на собеседование. Не обладающий никакими навыками ухода за людьми с ограниченными возможностями, Дрисс, тем не менее, привлекает Филиппа своей простотой и непосредственностью. Для Дрисса перспектива ухаживать за инвалидом — удовольствие ниже среднего, но деньги не пахнут. Стороны ударяют по рукам.
С такой сиделкой жизнь Филиппа резко меняется. Темпераментный Дрисс не готов быть просто исполнителем приказов, у него свой взгляд на всё происходящее с боссом. Домашний быт, работа, отдых и даже личная жизнь — Дрисс проникает во все сферы жизни, превращая чопорную жизнь Филиппа в непредсказуемое приключение.
",https://www.kinoafisha.info/movies/8133315/
"Хатико: самый верный друг, 2009","семейный, драма","
Профессор университета Паркер Уилсон находит на вокзале потерявшегося щенка. Поскольку за животным так никто и не приходит, Паркер оставляет щенка у себя. Постепенно между профессором и собакой возникает крепкая дружба, они очень друг к другу привязываются. Пес, получивший имя Хатико, каждый день провожает хозяина по утрам и встречает по вечерам на вокзале. Но случается несчастье: Паркер скоропостижно умирает от сердечного приступа. Но верный Хатико продолжает приходить на станцию, не пропуская ни дня.
",https://www.kinoafisha.info/movies/7719764/
"Ходячий замок, 2004","аниме , сказка, фантастика, мелодрама","
«Ходячий замок» режиссёра Хаяо Миядзаки давно вошёл в копилку лучших анимационных лент века, вместе с «Унесёнными призраками», «Рыбкой Поньо на утёсе» и другими шедеврами автора. Сценарий мультфильма Миядзаки написал, вдохновившись одноименным романом Дианы Уинн Джонс – однако творчески переосмыслил его и придал ему тот неповторимый колорит, который отличает все работы мастера.
В центре сюжета «Ходячего замка» – молодая и ничем не примечательная девушка Софи, работающая шляпницей в лавочке родителей и мечтающая о большой любви. Как, впрочем,  и положено любой восемнадцатилетней особе.
Однажды Софи встречает могущественного волшебника Хоула, который спасает её от приставших солдат. В её нежном сердце зарождаются чувства к прекрасному юноше, но злая Ведьма Пустоши превращает девушку в древнюю старуху. В отчаянии Софи бежит в Дикую Пустошь в надежде снять заклятие и попадает в волшебный ходячий замок Хоула, где берёт на себя заботу об этом необычном доме и всех его обитателях.
Сам Миядзаки назвал «Ходячий замок» первым аниме для пожилых людей, но с 2004 года у анимационной ленты появилось множество поклонников всех возрастов. Придирчивый зритель может заметить в анимационной ленте штампы – но тем и хороши работы мастера, что даже избитые клише помогают ему создать единую цельную картину с глубинным смыслом.
Фильмы Миядзаки – это всегда своего рода сказки, которые можно посмотреть на одном дыхании – и лишь позже осознать истинный посыл автора. «Ходячий замок» стал подобной сказкой о взрослении – и нежелании взрослеть, ответственности, сострадании и благородстве. Пожалуй, это именно та история, которой так не хватает взрослой аудитории в мире обыденности и суеты.
",https://www.kinoafisha.info/movies/329966/
"Побег из Шоушенка, 1994","драма, триллер","
Успешный банковский служащий Энди Дюфрейн осужден за убийство своей жены и ее любовника и приговорен к пожизненному заключению в знаменитой тюрьме Шоушенк. Жизнь героя поворачивается к худшему, но, к счастью для себя, Энди заводит дружбу с некоторыми другими заключенными, в особенности с эксцентричным персонажем, известный как Рэд. Со временем Энди находит несколько способов прожить жизнь в тюрьме с относительной легкостью. Власть имущие тут же стремятся втоптать его в грязь, а его способности использовать в своих целях, но дух Энди остается свободным.
",https://www.kinoafisha.info/movies/7731571/
"Изгой, 2000","приключения, драма","
Главный герой – мужчина из американского города Мемфис по имени Чак Ноланд, который работает в службе доставки логистической компании FedEx. Он и его девушка Келли Фрирс достаточно давно встречаются и любят друг друга. Однако плотный график героя постоянно мешает им создать настоящую семью. Ведь Чак словно женился на своей работе и чаще бывает в различных командировках, чем дома с любимым человеком. Но все меняется, когда по возвращению из поездки в Россию обратно домой в США он делает своей девушке предложение. Но прежде ему снова нужно на очередной самолет по работе в Малайзию, и это путешествие становится судьбоносным событием в жизни героя. Данный рейс сталкивается с техническими трудностями и падает где-то в южной части Тихого океана. На спасательном плоту относительно невредимого Чака прибивает к берегу острова, который оказывается необитаемым. Мужчина не знает, что случилось с его товарищами и самим самолетом. Посылки, которые ему предстоит выловить из океана, содержат предметы, благодаря которым он постепенно обустраивает свой быт, а волейбольный мяч становится единственным другом в этом безлюдном месте. Теперь, после стольких лет суеты и бесконечной спешки, жизнь Ноланда остановилась и в его арсенале оказалось слишком много времени. Чак понимает, что сейчас его приоритетом является выживание: ему необходимо каждый день добывать себе пищу и воду, строить безопасное укрытие и разжигать огонь. Мужчине придется пройти через череду физических и психологических трудностей, а длительное пребывание на острове превратится в мучительный период осмысления жизни, которую он прожил.
 
 
",https://www.kinoafisha.info/movies/4983627/
"Ван-Пис: Красный, 2022","боевик, приключения, анимация","
Пираты Соломенной шляпы встречают певицу Уту, чей голос и песни покорили мир. Девушка готовится к первому концерту, когда вдруг выясняется, что она — дочь капитана Шанкса.
",https://www.kinoafisha.info/movies/8367749/
