Аббатство Даунтон (2010 - 2015),"драма, семейный, мелодрама","
Жизнь поместья кипит на каждом этаже. Внизу со своими проблемами и невзгодами пытаются совладать слуги, а наверху аристократы, лорды и леди пытаются выжить в своей войне высшего общества. Кто станет наследником поместья, когда единственный человек трагически погибает в стенах «Титаника»? Как быть, если аристократка влюбляется в обычного слугу? Дворецкий не в силах уследить за каждым подчиненным, а на кухне скоро развернется целое восстание среди поварих.
",https://www.kinoafisha.info/series/downton-abbey/
Симпсоны (1989 - …),"комедия, семейный","
«Симпсоны» — многосерийное анимационное шоу, производством которого занимается телеканал FOX. Этот сериал является одним из самых продолжительных в истории телевидения: он выходит уже на протяжении 30 лет — с 1989 года. На сегодняшний день было отснято 32 сезона. Сюжет мультсериала разворачивается вокруг типичной американской семьи, проживающей в Спрингфилде. Глава семейства — лысеющий алкоголик по имени Гомер пытается подзаработать денег для детей и собственных маленьких радостей, пока его жена Мардж хозяйничает по дому и заботится о здоровье и благополучии Барта, Лизы и Мэгги. 
",https://www.kinoafisha.info/series/the-simpsons/
Гравити Фолз (2012 - 2016),"приключения, детектив, мистика","
«Гравити Фолз» — анимационный американский сериал, созданный писателем Алексом Хиршем для канала Disney. Шоу, продлившееся в эфире два сезона, имело большой успех у зрителей всех возрастов. В центре сюжета — брат и сестра, которые отправляются на каникулы к своему загадочному деду по имени Стэн в деревню под названием Гравити Фоллз. Пожилой родственник владеет антикварной лавкой, предлагающей покупателям крайне редкие и порой пугающие экспонаты. Брат и сестра поначалу не очень рады перспективе провести лето в какой-то глуши, но быстро понимают, что в деревне творится множество сверхъестественных и необъяснимых вещей.
",https://www.kinoafisha.info/series/gravity-falls/
Фарго (2014 - …),"драма, криминал","
Сериал «Фарго» — телевизионное продолжение культового фильма братьев Коэн в жанре черной комедии, с трагическими нотками и мощной криминальной закваской. Каждый сезон — новая история, которая происходит в разные десятилетия. Сюжеты объединены: местом действия, общим направлением событий и несколькими персонажами, а также их родственниками. Зрителя ждут неожиданные повороты, роковые совпадения и специфический юмор в полицейско-бандитской атмосфере.
",https://www.kinoafisha.info/series/fargo/
Аватар: Легенда об Аанге (2005 - 2008),"боевик, приключения, фэнтези","
«Аватар: Легенда об Аанге» — мультипликационный сериал, выходящий на американском телеканале Nickelodeon. Действие шоу происходит в вымышленной вселенной, где некоторые люди наделены уникальными способностями управлять природными стихиями, в том числе землей и воздухом. Главный герой — подросток по имени Аанг — вместе с друзьями пытается побороть печально известного хозяина огня. Только таким образом они смогут завершить столетнюю войну, охватившую большую часть их мира. По ходу развития сюжета герои становятся ближе и превращаются в настоящих друзей.
",https://www.kinoafisha.info/series/avatar-the-last-airbender/
Как я встретил вашу маму (2005 - 2014),"драма, комедия, мелодрама","
«Как я встретил вашу маму» — популярный американский ситком, повествующий о компании лучших друзей, живущих в Нью-Йорке. В центре событий — Тед Мосби, рассказывающий своим детям в 2030 году истории из своей молодости. Рядом с Тедом всегда есть лучший друг Маршалл Эриксон — молодой юрист, мечтающий однажды спасти планету от глобального потепления, и его будущая жена Лили. Позже к ним присоединяются настоящий бабник Барни Стинсон и телеведущая Робин Щербатски, в которую Тед влюбляется с первого взгляда. В основе сериала лежит отчасти реальная история, а неповторимый юмор и трогательные истории являются его визитной карточкой.
",https://www.kinoafisha.info/series/how-i-met-your-mother/
Сыр в мышеловке (2016 - 2016),"драма, комедия, мелодрама","
«Сыр в мышеловке» — это сериал о простой студентке с большими успехами в учебе. Жизнь девушки заполнена лекциями, подработкой, посиделками с друзьями и мало чем отличается от рутины других сверстников. Однажды после службы в армии в университет возвращается всеобщий любимчик Ю Чон из богатой семьи. Хон Соль сразу понимает, что задумчивый молодой человек совсем не тот, за кого себя выдает. Через некоторое время мстительный парень заставляет однокурсницу мечтать об академе...
",https://www.kinoafisha.info/series/cheese-in-the-trap/
Пустая корона (2012 - 2016),"драма, исторический","
«Пустая корона» — британский мини-сериал, основанный на произведениях Шекспира. Каждый эпизод является экранизацией пьесы писателя. В цикл «Пустой короны» вошли очерки о правлениях Ричарда II, Генриха IV и Генриха V. История начинается с Ричарда, который был тщеславным королем, совершенно не заботившимся о благосостоянии своих подданных. Его сын Генрих всегда чувствовал вину за родственника. Кроме того, ему пришлось столкнуться с последствием правления своего предка— гражданской войной. Внук Ричарда Генрих V не может отпустить отца и справиться со своими внутренними страхами.
",https://www.kinoafisha.info/series/the-hollow-crown/
Безрассудно влюбленные (2016 - 2016),"драма, мелодрама","
«Безрассудно влюбленные» — это сериал о непростых взаимоотношениях бывших одноклассников. Чжун Ен в юности стремился пойти по стопам кумира и стать справедливым прокурором, однако подлость отца заставляет его отказаться от мечты. Через несколько лет он становится знаменитым актером и получает от врача ужасные новости. Смертельный диагноз вынуждает парня встретиться с Но Ыль, знакомой из детства, пережившей когда-то страшную семейную трагедию...
",https://www.kinoafisha.info/series/uncontrollably-fond/
По долгу службы (2012 - …),"драма, криминал, триллер","
Сержант Стив Арнотт — один из лучших детективов в своем отделе. За свою карьеру ему удалось раскрыть бесчисленное количество преступлений, но однажды удача повернулась к нему спиной: во время антитеррористической операции под его руководством погибает невиновный человек. Так Стив оказывается в отделе полиции по борьбе с коррупцией, где, как предполагается, на него будет возлагаться намного меньше ответственности. За годы работы сержанту удается раскрыть множество преступлений, совершенных в том числе и его собственными коллегами. 
",https://www.kinoafisha.info/series/line-of-duty/
